row_type,cell_id,transform,measurability,drawing_id,param_idx,param,n_lid,n_flip,violation_frac,r_meta,verdict
obs,F01,translate,MEASURABLE,high_quality_5773,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",604,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5968,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",547,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5968,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",547,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5968,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",547,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5984,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",612,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5984,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",612,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5984,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",612,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_6388,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",500,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_6388,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",500,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_6388,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",500,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_665,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1180,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_665,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1180,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_665,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1180,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_6702,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",482,0,0.00000000,,
